session_time,lap,pos_x,pos_y,pos_z,speed,throttle,brake
1386.332275390625,14,-548.34033203125,58.592960357666016,-17.535362243652344,0,0.0,0.0
1386.3575439453125,14,-548.470947265625,58.5831298828125,-16.855113983154297,149,0.0,0.0
1386.3748779296875,14,-548.601318359375,58.57347869873047,-16.175548553466797,149,0.0,0.0
1386.3927001953125,14,-548.8616943359375,58.55453109741211,-14.818462371826172,149,0.0,0.0
1386.405029296875,14,-548.8616943359375,58.55453109741211,-14.818462371826172,149,0.0,0.0
1386.4237060546875,14,-548.99169921875,58.545265197753906,-14.140941619873047,149,0.0,0.0
1386.441650390625,14,-549.1214599609375,58.5362663269043,-13.464099884033203,148,0.0,0.0
1386.453369140625,14,-549.2510986328125,58.527584075927734,-12.78793716430664,148,0.0,0.0
1386.4713134765625,14,-549.380615234375,58.519168853759766,-12.11245346069336,148,0.0,0.0
1386.489013671875,14,-549.5098876953125,58.51093673706055,-11.43764877319336,148,0.0,0.0
1386.5064697265625,14,-549.63916015625,58.50282287597656,-10.763525009155273,148,0.0,0.0
1386.5240478515625,14,-549.76806640625,58.49491882324219,-10.090078353881836,148,0.0,0.0
1386.535888671875,14,-549.89697265625,58.487335205078125,-9.417309761047363,148,0.0,0.0
1386.553466796875,14,-550.02587890625,58.48006820678711,-8.744762420654297,147,0.0,0.0
1386.5711669921875,14,-550.15478515625,58.472957611083984,-8.071013450622559,147,1.0,0.0
1386.5888671875,14,-550.2840576171875,58.46587371826172,-7.395859241485596,148,1.0,0.0
1386.6065673828125,14,-550.4135131835938,58.45878601074219,-6.7193098068237305,148,1.0,0.0
1386.6182861328125,14,-550.5431518554688,58.451812744140625,-6.041372299194336,148,1.0,0.0
1386.635986328125,14,-550.6731567382812,58.445106506347656,-5.362054347991943,149,1.0,0.0
1386.6536865234375,14,-550.8032836914062,58.43875503540039,-4.681363105773926,149,1.0,0.0
1386.6712646484375,14,-550.9336547851562,58.43275833129883,-3.9993035793304443,149,1.0,0.0
1386.689208984375,14,-551.0642700195312,58.42702865600586,-3.315875768661499,150,1.0,0.0
1386.701416015625,14,-551.195068359375,58.421478271484375,-2.631070852279663,150,1.0,0.0
1386.720458984375,14,-551.326171875,58.41608428955078,-1.9448847770690918,150,1.0,0.0
1386.738525390625,14,-551.4574584960938,58.41084671020508,-1.2573175430297852,151,1.0,0.0
1386.755859375,14,-551.5889282226562,58.40573501586914,-0.5683712959289551,151,1.0,0.0
1386.7733154296875,14,-551.720703125,58.400665283203125,0.12195023149251938,151,1.0,0.0
1386.7913818359375,14,-551.8526611328125,58.395538330078125,0.8136489987373352,151,1.0,0.0
1386.8035888671875,14,-551.98486328125,58.39030075073242,1.506737470626831,152,1.0,0.0
1386.8218994140625,14,-552.1173095703125,58.38503646850586,2.201218605041504,152,1.0,0.0
1386.83984375,14,-552.2499389648438,58.379825592041016,2.89709210395813,152,1.0,0.0
1386.851806640625,14,-552.3828735351562,58.37465286254883,3.5943500995635986,153,1.0,0.0
1386.869873046875,14,-552.5160522460938,58.369441986083984,4.292994022369385,153,1.0,0.0
1386.887939453125,14,-552.6494140625,58.36408233642578,4.993027687072754,153,1.0,0.0
