session_time,lap,speed,throttle,brake
-6.490521173398298e+32,0,0,0.0,0.0
-6.490521173398298e+32,0,0,0.0,0.0
-6.490422138195155e+32,0,0,0.0,0.0
-6.490422138195155e+32,0,0,0.0,0.0
-6.490422138195155e+32,0,0,0.0,0.0
-6.490422138195155e+32,0,0,0.0,0.0
-6.490422138195155e+32,0,0,0.0,0.0
-6.490371073168535e+32,0,0,0.0,0.0
2.892543918087315e+26,0,0,0.0,0.0
5.277409159485599e-31,0,0,0.0,0.0
210.256591796875,0,0,0.0,0.0
2.892543918087315e+26,0,0,0.0,0.0
5.277409159485599e-31,0,0,0.0,0.0
210.256591796875,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
2.892543918087315e+26,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
5.277409159485599e-31,0,0,0.0,0.0
210.256591796875,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
7.006492321624085e-45,0,0,0.0,0.0
1.8367099231598242e-40,0,0,0.0,0.0
